year,month,day,hour,min,sec,lat,lon,depth,class
1980, 1, 1, 0,30,140,42.57,76.22,21, 7.0
1980, 1, 2,20,11,184,43.12,78.15,13, 7.4
1980, 1, 3, 2,38,280,44.27,79.31, 0, 7.5
1980, 1, 3,11,22,160,40.58,75.04, 0, 9.1
1980, 1, 4, 7,46,244,42.13,76.29,-1, 6.9
1980, 1, 4,13,40,242,41.23,79.05,-1, 7.2
1980, 1, 4,17,24,490,41.45,77.36,-1, 8.5
1980, 1, 4,22,16,392,42.31,78.18, 0, 6.8
1980, 1, 8, 2,51,503,42.47,77.52, 8, 6.4
1980, 1, 8,14, 2,368,42.56,77.02, 5, 7.1
1980, 1, 8,21,21,140,42.12,78.42,-1, 7.5
1980, 1, 9, 2,11,540,41.00,77.37,-1, 7.8
1980, 1,11, 9,34,168,40.50,74.22,-1, 8.2
1980, 1,13,13,52,476,41.52,77.37,-1, 7.7
1980, 1,14, 1,55,142,42.16,76.24,-1, 6.7
1980, 1,16,21,40,588,42.22,76.10,-1, 6.9
1980, 1,17,21, 4,450,42.04,77.11,-1, 6.9
1980, 1,19,15, 5,562,41.12,74.45,-1, 7.3
1980, 1,20,17,10,  2,42.58,77.10, 5, 4.8
1980, 1,21,19,25,450,42.04,77.13,-1, 6.7
1980, 1,22,19, 0,248,42.03,79.09,-1, 7.3
1980, 1,24,21,20,304,41.00,73.28,-1, 7.8
1980, 1,25, 9, 9,320,41.39,76.09,-1, 7.4
1980, 1,25,10,57,284,43.03,75.23, 0, 8.3
1980, 1,27,11, 7,390,43.03,76.46, 5, 5.8
1980, 1,28, 1, 4,310,41.21,74.33,-1, 7.5
1980, 1,28, 8,40, 20,43.48,82.44,-1,10.6
1980, 1,28,12, 7, 20,40.22,76.55,-1,11.1
1980, 1,30,18,37,320,42.12,76.40,10, 7.5
1980, 1,31,13,35,134,40.55,75.11,-1,10.4
1980, 1,31,18,59, 76,41.32,75.09,-1, 7.2
1980, 2, 2,21,17,368,41.02,74.35,-1, 8.0
1980, 2, 3,20, 1, 96,42.49,79.29,-1, 8.0
1980, 2, 3,22,21,384,42.40,76.56,12, 9.3
1980, 2, 6, 7, 7,184,42.49,76.30,10, 6.1
1980, 2, 7,23,32,346,42.58,77.10, 3, 5.3
